epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_slots_residual,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node,reward_epoch,reward_epoch_share_pct,reward_cum
9,OF_B,MAIN_B,796,796,0,0,0,0,0.0,100.72939999999998,33.86,33.17,0,0.0,0.0796,33.47,0.809
9,OF_C,MAIN_C,828,828,0,0,0,0,0.0,100.72330000000002,33.85,34.5,0,0.0,0.0828,34.82,0.8061
10,OF_A,MAIN_A,777,752,16,9,0,38,0.038,98.01702334630349,32.71,31.33,25,3.22,0.0752,31.66,0.8367
10,OF_B,MAIN_B,811,811,0,0,0,0,0.0,100.80899999999998,33.64,33.79,0,0.0,0.0811,34.15,0.8901
10,OF_C,MAIN_C,812,812,0,0,0,0,0.0,100.80610000000003,33.64,33.83,0,0.0,0.0812,34.19,0.8873
11,OF_A,MAIN_A,786,757,16,13,0,54,0.054,97.14518304431597,32.5,31.54,29,3.69,0.0757,31.93,0.9124
11,OF_B,MAIN_B,798,798,0,0,0,0,0.0,100.89009999999999,33.75,33.25,0,0.0,0.0798,33.66,0.9699
11,OF_C,MAIN_C,816,816,0,0,0,0,0.0,100.88730000000002,33.75,34.0,0,0.0,0.0816,34.42,0.9689
12,OF_A,MAIN_A,785,770,12,3,0,6,0.006,95.74231499051231,32.16,32.08,15,1.91,0.077,32.29,0.9894
12,OF_B,MAIN_B,819,819,0,0,0,0,0.0,100.9699,33.92,34.12,0,0.0,0.0819,34.34,1.0518
12,OF_C,MAIN_C,796,796,0,0,0,0,0.0,100.96890000000002,33.92,33.17,0,0.0,0.0796,33.38,1.0485
13,OF_A,MAIN_A,770,741,22,7,0,42,0.042,100.38707753479123,33.19,30.88,29,3.77,0.0741,31.25,1.0635
13,OF_B,MAIN_B,824,824,0,0,0,0,0.0,101.0518,33.41,34.33,0,0.0,0.0824,34.75,1.1342
13,OF_C,MAIN_C,806,806,0,0,0,0,0.0,101.04850000000002,33.41,33.58,0,0.0,0.0806,33.99,1.1291
14,OF_A,MAIN_A,759,728,21,10,0,52,0.052000000000000005,96.98992322456812,32.41,30.33,31,4.08,0.0728,30.73,1.1363
14,OF_B,MAIN_B,794,794,0,0,0,0,0.0,101.1342,33.8,33.08,0,0.0,0.0794,33.52,1.2136
14,OF_C,MAIN_C,847,847,0,0,0,0,0.0,101.12910000000002,33.79,35.29,0,0.0,0.0847,35.75,1.2138
15,OF_A,MAIN_A,795,770,19,6,0,32,0.032,96.1371673003802,32.2,32.08,25,3.14,0.077,32.42,1.2133
15,OF_B,MAIN_B,834,834,0,0,0,0,0.0,101.21360000000001,33.9,34.75,0,0.0,0.0834,35.12,1.297
15,OF_C,MAIN_C,771,771,0,0,0,0,0.0,101.21380000000002,33.9,32.12,0,0.0,0.0771,32.46,1.2909
16,OF_A,MAIN_A,768,746,16,6,0,26,0.026000000000000002,98.07490310077517,32.62,31.08,22,2.86,0.0746,31.37,1.2879
16,OF_B,MAIN_B,826,826,0,0,0,0,0.0,101.29700000000001,33.69,34.42,0,0.0,0.0826,34.74,1.3796
16,OF_C,MAIN_C,806,806,0,0,0,0,0.0,101.29090000000002,33.69,33.58,0,0.0,0.0806,33.89,1.3715
17,OF_A,MAIN_A,826,795,22,9,0,48,0.048,98.72115009746587,32.75,33.12,31,3.75,0.0795,33.56,1.3674
17,OF_B,MAIN_B,777,777,0,0,0,0,0.0,101.37960000000001,33.63,32.38,0,0.0,0.0777,32.8,1.4573
17,OF_C,MAIN_C,797,797,0,0,0,0,0.0,101.37150000000003,33.63,33.21,0,0.0,0.0797,33.64,1.4512
18,OF_A,MAIN_A,742,721,15,6,0,26,0.026000000000000002,96.72461832061066,32.28,30.04,21,2.83,0.0721,30.31,1.4395
18,OF_B,MAIN_B,857,857,0,0,0,0,0.0,101.4573,33.86,35.71,0,0.0,0.0857,36.02,1.543
18,OF_C,MAIN_C,801,801,0,0,0,0,0.0,101.45120000000003,33.86,33.38,0,0.0,0.0801,33.67,1.5313
19,OF_A,MAIN_A,800,774,19,7,0,34,0.034,98.86890838206625,32.74,32.25,26,3.25,0.0774,32.6,1.5169
19,OF_B,MAIN_B,776,776,0,0,0,0,0.0,101.543,33.63,32.33,0,0.0,0.0776,32.69,1.6206
19,OF_C,MAIN_C,824,824,0,0,0,0,0.0,101.53130000000003,33.63,34.33,0,0.0,0.0824,34.71,1.6137
