epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
19,OV_3,MAIN_3,7356,30.65,7346,0,0,10,10,0.14,313.6594999965712,30.0003,314.3940999963868,30.0018,30.6083,0.7346,0.0,0.7346,14.3941,0.0,0,0.0,0,0,0.0,0.0,0.0,147.12,0.0,0.0
20,OV_1,MAIN_1,9594,39.975,9554,22,18,0,40,0.42,419.16159999519004,39.9994,420.1169999949502,39.9992,39.8083,0.9554,0.0,0.9554,20.117,0.0,0,0.0,0,0,0.0,0.0,0.0,191.88,0.0,0.0
20,OV_2,MAIN_2,7275,30.312,7263,12,0,0,12,0.16,314.36349999639447,29.9988,315.08979999621215,29.9996,30.2625,0.7263,0.0,0.7263,15.0898,0.0,0,0.0,0,0,0.0,0.0,0.0,145.5,0.0,0.0
20,OV_3,MAIN_3,7131,29.712,7123,0,8,0,8,0.11,314.3940999963868,30.0018,315.106399996208,30.0012,29.6792,0.7123,0.0,0.7123,15.1064,0.0,0,0.0,0,0,0.0,0.0,0.0,142.62,0.0,0.0
21,OV_1,MAIN_1,9707,40.446,9689,0,0,18,18,0.19,420.1169999949502,39.9992,421.085899994707,40.0002,40.3708,0.9689,0.0,0.9689,21.0859,0.0,0,0.0,0,0,0.0,0.0,0.0,194.14000000000001,0.0,0.0
21,OV_2,MAIN_2,7141,29.754,7134,4,0,3,7,0.1,315.08979999621215,29.9996,315.8031999960331,29.999,29.725,0.7134,0.0,0.7134,15.8032,0.0,0,0.0,0,0,0.0,0.0,0.0,142.82,0.0,0.0
21,OV_3,MAIN_3,7152,29.8,7152,0,0,0,0,0.0,315.106399996208,30.0012,315.82159999602845,30.0008,29.8,0.7152,0.0,0.7152,15.8216,0.0,0,0.0,0,0,0.0,0.0,0.0,143.04,0.0,0.0
22,OV_1,MAIN_1,9570,39.875,9558,11,1,0,12,0.13,421.085899994707,40.0002,422.0416999944671,40.0,39.825,0.9558,0.0,0.9558,22.0417,0.0,0,0.0,0,0,0.0,0.0,0.0,191.4,0.0,0.0
22,OV_2,MAIN_2,7315,30.479,7272,21,0,22,43,0.59,315.8031999960331,29.999,316.53039999585053,29.9999,30.3,0.7272,0.0,0.7272,16.5304,0.0,0,0.0,0,0,0.0,0.0,0.0,146.3,0.0,0.0
22,OV_3,MAIN_3,7115,29.646,7109,0,0,6,6,0.08,315.82159999602845,30.0008,316.53249999585,30.0001,29.6208,0.7109,0.0,0.7109,16.5325,0.0,0,0.0,0,0,0.0,0.0,0.0,142.3,0.0,0.0
23,OV_1,MAIN_1,9696,40.4,9686,10,0,0,10,0.1,422.0416999944671,40.0,423.01029999422394,40.0009,40.3583,0.9686,0.0,0.9686,23.0103,0.0,0,0.0,0,0,0.0,0.0,0.0,193.92000000000002,0.0,0.0
23,OV_2,MAIN_2,7140,29.75,7126,0,0,14,14,0.2,316.53039999585053,29.9999,317.24299999567165,29.9993,29.6917,0.7126,0.0,0.7126,17.243,0.0,0,0.0,0,0,0.0,0.0,0.0,142.8,0.0,0.0
23,OV_3,MAIN_3,7164,29.85,7151,0,10,3,13,0.18,316.53249999585,30.0001,317.2475999956705,29.9997,29.7958,0.7151,0.0,0.7151,17.2476,0.0,0,0.0,0,0,0.0,0.0,0.0,143.28,0.0,0.0
24,OV_1,MAIN_1,9482,39.508,9482,0,0,0,0,0.0,423.01029999422394,40.0009,423.9584999939859,40.0001,39.5083,0.9482,0.0,0.9482,23.9585,0.0,0,0.0,0,0,0.0,0.0,0.0,189.64000000000001,0.0,0.0
24,OV_2,MAIN_2,7302,30.425,7266,2,0,34,36,0.49,317.24299999567165,29.9993,317.96959999548926,30.0001,30.275,0.7266,0.0,0.7266,17.9696,0.0,0,0.0,0,0,0.0,0.0,0.0,146.04,0.0,0.0
24,OV_3,MAIN_3,7216,30.067,7192,6,0,18,24,0.33,317.2475999956705,29.9997,317.96679999548996,29.9998,29.9667,0.7192,0.0,0.7192,17.9668,0.0,0,0.0,0,0,0.0,0.0,0.0,144.32,0.0,0.0
