epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node
8,NODE1,NODE1,234,208,26,0,0,1.5152039297786013,43.35584787158287,9.76,8.67,26,11.11
8,NODE2,NODE2,812,812,0,0,0,0.0,150.23970000000003,33.84,33.83,0,0.0
8,NODE3,NODE3,1354,1354,0,0,0,0.0,250.3997,56.4,56.42,0,0.0
9,NODE1,NODE1,219,189,30,0,0,1.7491765325183273,40.22306056467768,9.12,7.88,30,13.7
9,NODE2,NODE2,818,818,0,0,0,0.0,150.32090000000002,34.08,34.08,0,0.0
9,NODE3,NODE3,1363,1363,0,0,0,0.0,250.5351,56.8,56.79,0,0.0
10,NODE1,NODE1,202,184,18,0,0,1.8873943543005054,36.80669422392773,8.41,7.67,18,8.91
10,NODE2,NODE2,824,824,0,0,0,0.0,150.4027,34.35,34.33,0,0.0
10,NODE3,NODE3,1374,1374,0,0,0,0.0,250.6714,57.25,57.25,0,0.0
11,NODE1,NODE1,193,181,12,0,0,1.971746685906723,35.051152555334994,8.03,7.54,12,6.22
11,NODE2,NODE2,828,828,0,0,0,0.0,150.48510000000002,34.49,34.5,0,0.0
11,NODE3,NODE3,1379,1379,0,0,0,0.0,250.80880000000002,57.48,57.46,0,0.0
12,NODE1,NODE1,188,164,24,0,0,2.187065834842893,34.06232451778268,7.82,6.83,24,12.77
12,NODE2,NODE2,829,829,0,0,0,0.0,150.5679,34.57,34.54,0,0.0
12,NODE3,NODE3,1383,1383,0,0,0,0.0,250.94670000000002,57.61,57.63,0,0.0
13,NODE1,NODE1,176,151,25,0,0,2.431156743933802,31.766209186259463,7.33,6.29,25,14.2
13,NODE2,NODE2,834,834,0,0,0,0.0,150.6508,34.75,34.75,0,0.0
13,NODE3,NODE3,1390,1390,0,0,0,0.0,251.085,57.92,57.92,0,0.0
14,NODE1,NODE1,164,145,19,0,0,2.622864061006973,29.51077655633722,6.84,6.04,19,11.59
14,NODE2,NODE2,839,839,0,0,0,0.0,150.73420000000002,34.94,34.96,0,0.0
14,NODE3,NODE3,1397,1397,0,0,0,0.0,251.22400000000002,58.23,58.21,0,0.0
15,NODE1,NODE1,156,144,12,0,0,2.736710214853127,27.95318794596226,6.5,6.0,12,7.69
15,NODE2,NODE2,841,841,0,0,0,0.0,150.81810000000002,35.06,35.04,0,0.0
15,NODE3,NODE3,1403,1403,0,0,0,0.0,251.36370000000002,58.44,58.46,0,0.0
16,NODE1,NODE1,152,144,8,0,0,2.8019733727478635,27.105393294186996,6.31,6.0,8,5.26
16,NODE2,NODE2,843,843,0,0,0,0.0,150.90220000000002,35.13,35.12,0,0.0
16,NODE3,NODE3,1405,1405,0,0,0,0.0,251.50400000000002,58.56,58.54,0,0.0
17,NODE1,NODE1,149,134,15,0,0,2.963315654627058,26.643900434995995,6.21,5.58,15,10.07
17,NODE2,NODE2,844,844,0,0,0,0.0,150.98650000000004,35.17,35.17,0,0.0
17,NODE3,NODE3,1407,1407,0,0,0,0.0,251.64450000000002,58.62,58.63,0,0.0
18,NODE1,NODE1,143,136,7,0,0,3.021217752529156,25.56263715248625,5.97,5.67,7,4.9
18,NODE2,NODE2,846,846,0,0,0,0.0,151.07090000000002,35.26,35.25,0,0.0
18,NODE3,NODE3,1411,1411,0,0,0,0.0,251.78520000000003,58.77,58.79,0,0.0
19,NODE1,NODE1,141,133,8,0,0,3.0946929298341206,25.197939091030445,5.88,5.54,8,5.67
19,NODE2,NODE2,847,847,0,0,0,0.0,151.15550000000002,35.29,35.29,0,0.0
19,NODE3,NODE3,1412,1412,0,0,0,0.0,251.92630000000003,58.82,58.83,0,0.0
