epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node
0,NODE1,NODE1,2400,2148,252,0,0,0.16999999999999998,100.0,100.0,89.5,252,10.5
0,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
0,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1,NODE1,NODE1,2400,2149,251,0,0,0.3391666666666666,85.65367521367521,100.0,89.54,251,10.46
1,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
1,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2,NODE1,NODE1,2400,2164,236,0,0,0.49583333333333324,74.99417548226509,100.0,90.17,236,9.83
2,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
2,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3,NODE1,NODE1,2400,2142,258,0,0,0.6708333333333332,67.2843008356546,100.0,89.25,258,10.75
3,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
3,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4,NODE1,NODE1,2400,2159,241,0,0,0.8316666666666666,60.36526683291771,100.0,89.96,241,10.04
4,NODE2,NODE2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
4,NODE3,NODE3,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
5,NODE1,NODE1,291,259,32,0,0,1.0115979381443299,55.182638762511374,12.12,10.79,32,11.0
5,NODE2,NODE2,791,791,0,0,0,0.0,150.0,32.95,32.96,0,0.0
5,NODE3,NODE3,1318,1318,0,0,0,0.0,250.0,54.92,54.92,0,0.0
6,NODE1,NODE1,268,237,31,0,0,1.2029412217264195,50.25959615631005,11.16,9.88,31,11.57
6,NODE2,NODE2,799,799,0,0,0,0.0,150.0791,33.32,33.29,0,0.0
6,NODE3,NODE3,1333,1333,0,0,0,0.0,250.1318,55.53,55.54,0,0.0
7,NODE1,NODE1,247,226,21,0,0,1.332981707556379,45.90490159367433,10.28,9.42,21,8.5
7,NODE2,NODE2,807,807,0,0,0,0.0,150.15900000000002,33.64,33.62,0,0.0
7,NODE3,NODE3,1346,1346,0,0,0,0.0,250.2651,56.07,56.08,0,0.0
