epoch,overflow,main,assigned_slots,ok,skipped,invalid,delayed,penalty_slots_residual,penalty_score,effective_stake,stake_share_pct,delivered_slots_share_pct,bad_slots_abs,bad_slots_pct_node,reward_epoch,reward_epoch_share_pct,reward_cum
7,OF_A,MAIN_A,809,809,0,0,0,0,0.0,100.56669999999998,33.34,33.71,0,0.0,0.0809,33.71,0.6476
7,OF_B,MAIN_B,754,754,0,0,0,0,0.0,100.56179999999999,33.33,31.42,0,0.0,0.0754,31.42,0.6372
7,OF_C,MAIN_C,837,837,0,0,0,0,0.0,100.55149999999999,33.33,34.88,0,0.0,0.0837,34.88,0.6352
8,OF_A,MAIN_A,759,759,0,0,0,0,0.0,100.64759999999998,33.34,31.62,0,0.0,0.0759,31.63,0.7235
8,OF_B,MAIN_B,819,819,0,0,0,0,0.0,100.63719999999999,33.33,34.12,0,0.0,0.0819,34.12,0.7191
8,OF_C,MAIN_C,822,822,0,0,0,0,0.0,100.63519999999998,33.33,34.25,0,0.0,0.0822,34.25,0.7174
9,OF_A,MAIN_A,823,823,0,0,0,0,0.0,100.72349999999999,33.33,34.29,0,0.0,0.0823,34.29,0.8058
9,OF_B,MAIN_B,781,781,0,0,0,0,0.0,100.7191,33.33,32.54,0,0.0,0.0781,32.54,0.7972
9,OF_C,MAIN_C,796,796,0,0,0,0,0.0,100.71739999999998,33.33,33.17,0,0.0,0.0796,33.17,0.797
10,OF_A,MAIN_A,790,790,0,0,0,0,0.0,100.80579999999999,33.34,32.92,0,0.0,0.079,32.92,0.8848
10,OF_B,MAIN_B,778,778,0,0,0,0,0.0,100.7972,33.33,32.42,0,0.0,0.0778,32.42,0.875
10,OF_C,MAIN_C,832,832,0,0,0,0,0.0,100.79699999999998,33.33,34.67,0,0.0,0.0832,34.67,0.8802
11,OF_A,MAIN_A,813,813,0,0,0,0,0.0,100.88479999999998,33.33,33.88,0,0.0,0.0813,33.87,0.9661
11,OF_B,MAIN_B,780,780,0,0,0,0,0.0,100.875,33.33,32.5,0,0.0,0.078,32.5,0.953
11,OF_C,MAIN_C,807,807,0,0,0,0,0.0,100.88019999999999,33.33,33.62,0,0.0,0.0807,33.62,0.9609
12,OF_A,MAIN_A,839,839,0,0,0,0,0.0,100.96609999999998,33.34,34.96,0,0.0,0.0839,34.96,1.05
12,OF_B,MAIN_B,796,796,0,0,0,0,0.0,100.953,33.33,33.17,0,0.0,0.0796,33.17,1.0326
12,OF_C,MAIN_C,765,765,0,0,0,0,0.0,100.96089999999998,33.33,31.87,0,0.0,0.0765,31.87,1.0374
13,OF_A,MAIN_A,779,779,0,0,0,0,0.0,101.04999999999998,33.34,32.46,0,0.0,0.0779,32.46,1.1279
13,OF_B,MAIN_B,801,801,0,0,0,0,0.0,101.0326,33.33,33.38,0,0.0,0.0801,33.38,1.1127
13,OF_C,MAIN_C,820,820,0,0,0,0,0.0,101.03739999999998,33.33,34.17,0,0.0,0.082,34.17,1.1194
14,OF_A,MAIN_A,816,816,0,0,0,0,0.0,101.12789999999998,33.34,34.0,0,0.0,0.0816,34.0,1.2095
