epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_TKG,fees_epoch_TKR_at_main,reward_epoch_total_value_TKG_only,coinbase_cum_TKG,fees_cum_TKR_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg
26,OV_2,MAIN_2,7258,30.242,7258,0,0,0,0,0.0,318.74329999529505,30.036,319.46909999511286,30.0379,30.2417,0.7258,0.0,0.7258,19.4691,0.0845,0,0.0,0,0,0.0,0.0,7258.0,145.0,0.0,0.0
26,OV_3,MAIN_3,7179,29.912,7179,0,0,0,0,0.0,318.7453999952945,30.0362,319.4632999951143,30.0373,29.9125,0.7179,0.0,0.7179,19.4633,0.082,0,0.0,0,0,0.0,0.0,7179.0,143.0,0.0,0.0
27,OV_1,MAIN_1,9741,40.587,9254,0,487,0,487,5.0,424.6226999938192,39.9248,425.5480999935869,39.9236,38.5583,0.9254,0.0,0.9254,25.5481,0.1031,0,0.0,487,487,100.0,1560.0,9254.0,194.0,0.0,0.0
27,OV_2,MAIN_2,7080,29.5,7080,0,0,0,0,0.0,319.46909999511286,30.0379,320.17709999493513,30.038,29.5,0.708,0.0,0.708,20.1771,0.0845,0,0.0,0,0,0.0,0.0,7080.0,141.0,0.0,0.0
27,OV_3,MAIN_3,7179,29.912,7179,0,0,0,0,0.0,319.4632999951143,30.0373,320.1811999949341,30.0384,29.9125,0.7179,0.0,0.7179,20.1812,0.082,0,0.0,0,0,0.0,0.0,7179.0,143.0,0.0,0.0
28,OV_1,MAIN_1,9566,39.858,9088,0,478,0,478,5.0,425.5480999935869,39.9236,426.4568999933588,39.9208,37.8667,0.9088,0.0,0.9088,26.4569,0.1031,0,0.0,478,478,100.0,1530.0,9088.0,191.0,0.0,0.0
28,OV_2,MAIN_2,7296,30.4,7296,0,0,0,0,0.0,320.17709999493513,30.038,320.906699994752,30.0402,30.4,0.7296,0.0,0.7296,20.9067,0.0845,0,0.0,0,0,0.0,0.0,7296.0,145.0,0.0,0.0
28,OV_3,MAIN_3,7138,29.742,7138,0,0,0,0,0.0,320.1811999949341,30.0384,320.8949999947549,30.0391,29.7417,0.7138,0.0,0.7138,20.895,0.082,0,0.0,0,0,0.0,0.0,7138.0,142.0,0.0,0.0
29,OV_1,MAIN_1,9569,39.871,9091,0,478,0,478,5.0,426.4568999933588,39.9208,427.3659999931306,39.918,37.8792,0.9091,0.0,0.9091,27.366,0.1031,0,0.0,478,478,100.0,1530.0,9091.0,191.0,0.0,0.0
29,OV_2,MAIN_2,7255,30.229,7255,0,0,0,0,0.0,320.906699994752,30.0402,321.6321999945699,30.0419,30.2292,0.7255,0.0,0.7255,21.6322,0.0845,0,0.0,0,0,0.0,0.0,7255.0,145.0,0.0,0.0
29,OV_3,MAIN_3,7176,29.9,7176,0,0,0,0,0.0,320.8949999947549,30.0391,321.6125999945748,30.0401,29.9,0.7176,0.0,0.7176,21.6126,0.082,0,0.0,0,0,0.0,0.0,7176.0,143.0,0.0,0.0
30,OV_1,MAIN_1,9594,39.975,9115,0,479,0,479,4.99,427.3659999931306,39.918,428.27749999290177,39.9154,37.9792,0.9115,0.0,0.9115,28.2775,0.1031,0,0.0,479,479,100.0,1534.0,9115.0,191.0,0.0,0.0
30,OV_2,MAIN_2,7297,30.404,7297,0,0,0,0,0.0,321.6321999945699,30.0419,322.3618999943867,30.0441,30.4042,0.7297,0.0,0.7297,22.3619,0.0845,0,0.0,0,0,0.0,0.0,7297.0,145.0,0.0,0.0
30,OV_3,MAIN_3,7109,29.621,7109,0,0,0,0,0.0,321.6125999945748,30.0401,322.32349999439634,30.0405,29.6208,0.7109,0.0,0.7109,22.3235,0.082,0,0.0,0,0,0.0,0.0,7109.0,142.0,0.0,0.0
31,OV_1,MAIN_1,9666,40.275,9183,0,483,0,483,5.0,428.27749999290177,39.9154,429.19579999267125,39.9135,38.2625,0.9183,0.0,0.9183,29.1958,0.1031,0,0.0,483,483,100.0,1546.0,9183.0,193.0,0.0,0.0
31,OV_2,MAIN_2,7111,29.629,7111,0,0,0,0,0.0,322.3618999943867,30.0441,323.0729999942082,30.0445,29.6292,0.7111,0.0,0.7111,23.073,0.0845,0,0.0,0,0,0.0,0.0,7111.0,142.0,0.0,0.0
31,OV_3,MAIN_3,7223,30.096,7223,0,0,0,0,0.0,322.32349999439634,30.0405,323.04579999421503,30.042,30.0958,0.7223,0.0,0.7223,23.0458,0.082,0,0.0,0,0,0.0,0.0,7223.0,144.0,0.0,0.0
32,OV_1,MAIN_1,9421,39.254,8950,0,471,0,471,5.0,429.19579999267125,39.9135,430.0907999924466,39.9094,37.2917,0.895,0.0,0.895,30.0908,0.1031,0,0.0,471,471,100.0,1508.0,8950.0,188.0,0.0,0.0
32,OV_2,MAIN_2,7317,30.488,7317,0,0,0,0,0.0,323.0729999942082,30.0445,323.80469999402453,30.0468,30.4875,0.7317,0.0,0.7317,23.8047,0.0845,0,0.0,0,0,0.0,0.0,7317.0,146.0,0.0,0.0
32,OV_3,MAIN_3,7262,30.258,7262,0,0,0,0,0.0,323.04579999421503,30.042,323.77199999403274,30.0438,30.2583,0.7262,0.0,0.7262,23.772,0.082,0,0.0,0,0,0.0,0.0,7262.0,145.0,0.0,0.0
33,OV_1,MAIN_1,9592,39.967,9113,0,479,0,479,4.99,430.0907999924466,39.9094,431.00209999221784,39.9069,37.9708,0.9113,0.0,0.9113,31.0021,0.1031,0,0.0,479,479,100.0,1534.0,9113.0,191.0,0.0,0.0
33,OV_2,MAIN_2,7210,30.042,7210,0,0,0,0,0.0,323.80469999402453,30.0468,324.52569999384355,30.0481,30.0417,0.721,0.0,0.721,24.5257,0.0845,0,0.0,0,0,0.0,0.0,7210.0,144.0,0.0,0.0
33,OV_3,MAIN_3,7198,29.992,7198,0,0,0,0,0.0,323.77199999403274,30.0438,324.49179999385206,30.045,29.9917,0.7198,0.0,0.7198,24.4918,0.082,0,0.0,0,0,0.0,0.0,7198.0,143.0,0.0,0.0
34,OV_1,MAIN_1,9483,39.513,9009,0,474,0,474,5.0,431.00209999221784,39.9069,431.9029999919917,39.9034,37.5375,0.9009,0.0,0.9009,31.903,0.1031,0,0.0,474,474,100.0,1518.0,9009.0,189.0,0.0,0.0
34,OV_2,MAIN_2,7305,30.438,7305,0,0,0,0,0.0,324.52569999384355,30.0481,325.2561999936602,30.0503,30.4375,0.7305,0.0,0.7305,25.2562,0.0845,0,0.0,0,0,0.0,0.0,7305.0,146.0,0.0,0.0
34,OV_3,MAIN_3,7212,30.05,7212,0,0,0,0,0.0,324.49179999385206,30.045,325.212999993671,30.0463,30.05,0.7212,0.0,0.7212,25.213,0.082,0,0.0,0,0,0.0,0.0,7212.0,144.0,0.0,0.0
35,OV_1,MAIN_1,9703,40.429,9218,0,485,0,485,5.0,431.9029999919917,39.9034,432.8247999917603,39.9018,38.4083,0.9218,0.0,0.9218,32.8248,0.1031,0,0.0,485,485,100.0,1552.0,9218.0,194.0,0.0,0.0
35,OV_2,MAIN_2,7093,29.554,7093,0,0,0,0,0.0,325.2561999936602,30.0503,325.9654999934821,30.0506,29.5542,0.7093,0.0,0.7093,25.9655,0.0845,0,0.0,0,0,0.0,0.0,7093.0,141.0,0.0,0.0
