epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
5,OV_2,MAIN_2,11930,49.708,11930,0,0,0,0,0.0,305.0190999987401,49.5363,306.21209999844064,49.5476,49.7083,1.193,0.0,1.193,6.2121,0.0034,0,0.0,0,0,0.0,0.0,11930.0,2386.0,0.0,0.0,1.0,2,0.4970833333333333,0,0,0,0
5,OV_3,MAIN_3,11860,49.417,11860,0,0,0,0,0.0,305.00779999874294,49.5345,306.19379999844523,49.5446,49.4167,1.186,0.0001,1.186,6.1938,0.0025,0,0.0,0,0,0.0,0.0,11860.0,2372.0,0.0,0.0,1.0,2,0.49416666666666664,0,0,0,0
6,OV_1,MAIN_1,192,0.8,144,0,48,0,48,25.0,5.610397318616927,0.9078,5.5097977096559205,0.8883,0.6,0.0144,0.0,0.0144,1.7469,0.0003,14383,71.915,48,48,100.0,406.0,144.0,38.0,14121.0,14383.0,0.75,2,0.008,1,0,0,0
6,OV_2,MAIN_2,11786,49.108,11786,0,0,0,0,0.0,306.21209999844064,49.5476,307.3906999981448,49.5554,49.1083,1.1786,0.0002,1.1786,7.3907,0.0036,0,0.0,0,0,0.0,0.0,11786.0,2357.0,0.0,0.0,1.0,2,0.4910833333333333,0,0,0,0
6,OV_3,MAIN_3,12022,50.092,12022,0,0,0,0,0.0,306.19379999844523,49.5446,307.39599999814345,49.5563,50.0917,1.2022,0.0004,1.2022,7.396,0.0029,0,0.0,0,0,0.0,0.0,12022.0,2404.0,0.0,0.0,1.0,2,0.5009166666666667,0,0,0,0
7,OV_1,MAIN_1,208,0.867,156,0,52,0,52,25.0,5.5097977096559205,0.8883,5.405482677424253,0.8683,0.65,0.0156,0.0,0.0156,1.7625,0.0003,14665,73.325,52,52,100.0,438.0,156.0,41.0,14383.0,14665.0,0.75,2,0.008666666666666666,1,0,0,0
7,OV_2,MAIN_2,11947,49.779,11947,0,0,0,0,0.0,307.3906999981448,49.5554,308.5853999978449,49.5663,49.7792,1.1947,0.0,1.1947,8.5854,0.0036,0,0.0,0,0,0.0,0.0,11947.0,2389.0,0.0,0.0,1.0,2,0.4977916666666667,0,0,0,0
7,OV_3,MAIN_3,11845,49.354,11845,0,0,0,0,0.0,307.39599999814345,49.5563,308.5804999978461,49.5655,49.3542,1.1845,0.0,1.1845,8.5805,0.0029,0,0.0,0,0,0.0,0.0,11845.0,2369.0,0.0,0.0,1.0,2,0.49354166666666666,0,0,0,0
8,OV_1,MAIN_1,210,0.875,158,0,52,0,52,24.76,5.405482677424253,0.8683,5.306455788147046,0.8492,0.6583,0.0158,0.0,0.0158,1.7783,0.0003,14943,74.715,52,52,100.0,436.0,158.0,42.0,14665.0,14943.0,0.7523809523809524,2,0.00875,1,0,0,0
8,OV_2,MAIN_2,11907,49.612,11907,0,0,0,0,0.0,308.5853999978449,49.5663,309.776099997546,49.576,49.6125,1.1907,0.0002,1.1907,9.7761,0.0038,0,0.0,0,0,0.0,0.0,11907.0,2381.0,0.0,0.0,1.0,2,0.496125,0,0,0,0
