epoch,overflow,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share,malicious_i,post_t,interaction,time_since_switch
5,OV_3,MAIN_3,7313,30.471,7301,0,0,12,12,0.16,303.5968999990971,30.0002,304.32699999891383,30.0015,30.4208,0.7301,0.0,0.7301,4.327,0.0,0,0.0,0,0,0.0,0.0,0.0,146.26,0.0,0.0,0.9983590865581841,1,0.30470833333333336,,,,
6,OV_1,MAIN_1,9606,40.025,9600,0,0,6,6,0.06,405.7289999985619,39.998,406.6889999983209,39.9981,40.0,0.96,0.0,0.96,6.689,0.0,0,0.0,0,0,0.0,0.0,0.0,192.12,0.0,0.0,0.9993753903810119,1,0.40025,,,,
6,OV_2,MAIN_2,7134,29.725,7110,18,0,6,24,0.34,304.31819999891604,30.0006,305.0291999987376,29.9998,29.625,0.711,0.0,0.711,5.0292,0.0,0,0.0,0,0,0.0,0.0,0.0,142.68,0.0,0.0,0.9966358284272497,1,0.29725,,,,
6,OV_3,MAIN_3,7260,30.25,7254,0,0,6,6,0.08,304.32699999891383,30.0015,305.05239999873174,30.0021,30.225,0.7254,0.0,0.7254,5.0524,0.0,0,0.0,0,0,0.0,0.0,0.0,145.20000000000002,0.0,0.0,0.9991735537190083,1,0.3025,,,,
7,OV_1,MAIN_1,9688,40.367,9683,0,5,0,5,0.05,406.6889999983209,39.9981,407.65729999807786,39.999,40.3458,0.9683,0.0,0.9683,7.6573,0.0,0,0.0,0,0,0.0,0.0,0.0,193.76,0.0,0.0,0.9994838976052849,1,0.4036666666666667,,,,
7,OV_2,MAIN_2,7095,29.563,7094,1,0,0,1,0.01,305.0291999987376,29.9998,305.7385999985595,29.9988,29.5583,0.7094,0.0,0.7094,5.7386,0.0,0,0.0,0,0,0.0,0.0,0.0,141.9,0.0,0.0,0.9998590556730091,1,0.295625,,,,
7,OV_3,MAIN_3,7217,30.071,7203,0,0,14,14,0.19,305.05239999873174,30.0021,305.77269999855093,30.0022,30.0125,0.7203,0.0,0.7203,5.7727,0.0,0,0.0,0,0,0.0,0.0,0.0,144.34,0.0,0.0,0.9980601357904947,1,0.30070833333333336,,,,
8,OV_1,MAIN_1,9686,40.358,9686,0,0,0,0,0.0,407.65729999807786,39.999,408.6258999978347,40.0,40.3583,0.9686,0.0,0.9686,8.6259,0.0,0,0.0,0,0,0.0,0.0,0.0,193.72,0.0,0.0,1.0,1,0.40358333333333335,,,,
8,OV_2,MAIN_2,7077,29.488,7059,18,0,0,18,0.25,305.7385999985595,29.9988,306.4444999983823,29.9975,29.4125,0.7059,0.0,0.7059,6.4445,0.0,0,0.0,0,0,0.0,0.0,0.0,141.54,0.0,0.0,0.9974565493853328,1,0.294875,,,,
8,OV_3,MAIN_3,7237,30.154,7222,14,0,1,15,0.21,305.77269999855093,30.0022,306.49489999836965,30.0025,30.0917,0.7222,0.0,0.7222,6.4949,0.0,0,0.0,0,0,0.0,0.0,0.0,144.74,0.0,0.0,0.9979273179494266,1,0.30154166666666665,,,,
9,OV_1,MAIN_1,9666,40.275,9666,0,0,0,0,0.0,408.6258999978347,40.0,409.5924999975921,40.0009,40.275,0.9666,0.0,0.9666,9.5925,0.0,0,0.0,0,0,0.0,0.0,0.0,193.32,0.0,0.0,1.0,1,0.40275,,,,
9,OV_2,MAIN_2,7202,30.008,7160,8,15,19,42,0.58,306.4444999983823,29.9975,307.16049999820257,29.9973,29.8333,0.716,0.0,0.716,7.1605,0.0,0,0.0,0,0,0.0,0.0,0.0,144.04,0.0,0.0,0.9941682865870591,1,0.3000833333333333,,,,
9,OV_3,MAIN_3,7132,29.717,7110,0,8,14,22,0.31,306.49489999836965,30.0025,307.2058999981912,30.0018,29.625,0.711,0.0,0.711,7.2059,0.0,0,0.0,0,0,0.0,0.0,0.0,142.64,0.0,0.0,0.9969153112731352,1,0.2971666666666667,,,,
10,OV_1,MAIN_1,9520,39.667,9488,0,0,32,32,0.34,409.5924999975921,40.0009,410.5412999973539,40.0,39.5333,0.9488,0.0,0.9488,10.5413,0.0,0,0.0,0,0,0.0,0.0,0.0,190.4,0.0,0.0,0.9966386554621849,1,0.39666666666666667,,,,
10,OV_2,MAIN_2,7319,30.496,7318,0,0,1,1,0.01,307.16049999820257,29.9973,307.89229999801887,29.9986,30.4917,0.7318,0.0,0.7318,7.8923,0.0,0,0.0,0,0,0.0,0.0,0.0,146.38,0.0,0.0,0.9998633693127477,1,0.30495833333333333,,,,
10,OV_3,MAIN_3,7161,29.837,7149,0,0,12,12,0.17,307.2058999981912,30.0018,307.9207999980117,30.0014,29.7875,0.7149,0.0,0.7149,7.9208,0.0,0,0.0,0,0,0.0,0.0,0.0,143.22,0.0,0.0,0.9983242563887725,1,0.298375,,,,
11,OV_1,MAIN_1,9551,39.796,9526,25,0,0,25,0.26,410.5412999973539,40.0,411.4938999971148,39.9994,39.6917,0.9526,0.0,0.9526,11.4939,0.0,0,0.0,0,0,0.0,0.0,0.0,191.02,0.0,0.0,0.9973824730394724,1,0.39795833333333336,,,,
