epoch,node,main,assigned_slots,share_assigned_slots,ok,skipped,invalid,delayed,bad_slots_abs,bad_slots_pct_node,effective_stake,stake_share_pct,effective_stake_next,stake_share_next_pct,delivered_slots_share_pct,coinbase_epoch_tkg,fees_epoch_tkr_at_main,reward_epoch_total_value_tkg_only,coinbase_cum_tkg,fees_cum_tkr_at_main,penalty_slots_residual,penalty_score,forced_invalid_slots_planned,forced_invalid_slots_realized,forced_invalid_share_pct_of_invalid,penalty_gained,penalty_recovery,penalty_tol,residual_prev_dbg,residual_next_dbg,ok_rate,scenario,assigned_share
108,OV_2,MAIN_2,7205,30.021,7177,28,0,0,28,0.39,377.7042999804946,30.0073,378.42199998031447,30.0073,29.9042,0.7177,0.0,0.7177,78.422,0.0,0,0.0,0,0,0.0,0.0,0.0,144.1,0.0,0.0,0.9961138098542679,1,0.30020833333333335
108,OV_3,MAIN_3,7201,30.004,7199,0,0,2,2,0.03,377.5013999805456,29.9912,378.2212999803649,29.9914,29.9958,0.7199,0.0,0.7199,78.2213,0.0,0,0.0,0,0,0.0,0.0,0.0,144.02,0.0,0.0,0.9997222607971115,1,0.30004166666666665
109,OV_1,MAIN_1,9505,39.604,9468,3,9,25,37,0.39,504.4568999737792,40.0013,505.4036999735415,40.0004,39.45,0.9468,0.0,0.9468,105.4037,0.0,0,0.0,0,0,0.0,0.0,0.0,190.1,0.0,0.0,0.9961073119410836,1,0.3960416666666667
109,OV_2,MAIN_2,7213,30.054,7213,0,0,0,0,0.0,378.42199998031447,30.0073,379.1432999801334,30.0075,30.0542,0.7213,0.0,0.7213,79.1433,0.0,0,0.0,0,0,0.0,0.0,0.0,144.26,0.0,0.0,1.0,1,0.30054166666666665
109,OV_3,MAIN_3,7282,30.342,7282,0,0,0,0,0.0,378.2212999803649,29.9914,378.94949998018205,29.9921,30.3417,0.7282,0.0,0.7282,78.9495,0.0,0,0.0,0,0,0.0,0.0,0.0,145.64,0.0,0.0,1.0,1,0.30341666666666667
110,OV_1,MAIN_1,9650,40.208,9650,0,0,0,0,0.0,505.4036999735415,40.0004,506.3686999732993,40.0009,40.2083,0.965,0.0,0.965,106.3687,0.0,0,0.0,0,0,0.0,0.0,0.0,193.0,0.0,0.0,1.0,1,0.40208333333333335
110,OV_2,MAIN_2,7230,30.125,7206,19,0,5,24,0.33,379.1432999801334,30.0075,379.8638999799525,30.0076,30.025,0.7206,0.0,0.7206,79.8639,0.0,0,0.0,0,0,0.0,0.0,0.0,144.6,0.0,0.0,0.9966804979253112,1,0.30125
110,OV_3,MAIN_3,7120,29.667,7117,3,0,0,3,0.04,378.94949998018205,29.9921,379.6611999800034,29.9916,29.6542,0.7117,0.0,0.7117,79.6612,0.0,0,0.0,0,0,0.0,0.0,0.0,142.4,0.0,0.0,0.9995786516853933,1,0.2966666666666667
111,OV_1,MAIN_1,9507,39.612,9482,0,3,22,25,0.26,506.3686999732993,40.0009,507.31689997306125,40.0002,39.5083,0.9482,0.0,0.9482,107.3169,0.0,0,0.0,0,0,0.0,0.0,0.0,190.14,0.0,0.0,0.9973703586830757,1,0.396125
111,OV_2,MAIN_2,7174,29.892,7130,13,10,21,44,0.61,379.8638999799525,30.0076,380.5768999797736,30.0072,29.7083,0.713,0.0,0.713,80.5769,0.0,0,0.0,0,0,0.0,0.0,0.0,143.48,0.0,0.0,0.9938667410091999,1,0.29891666666666666
